nct_id,study_title,study_status,conditions,interventions,sponsor,phases,Locations,start_date,completion_date
NCT02542618,"The Efficacy of Inquiry Based Stress Reduction (IBSR) for Depression, a Clinical Trial",UNKNOWN,Depression,BEHAVIORAL: Inquiry Based Stress Reduction (IBSR)|BEHAVIORAL: Cognitive Behavioral Therapy (CBT),Erasmus Medical Center,,"FortaGroep, Rotterdam, South Holland, 3067GK, Netherlands",2015-10,2020-03
NCT03446963,Social Connectedness Group Intervention in Depression,COMPLETED,Depression,BEHAVIORAL: Groups for Health,University of Nottingham,,"Nottinghamshire Healthcare NHS Foundation Trust, Nottingham, Nottinghamshire, NG3 6AA, United Kingdom",2018-10-01,2019-03-18
NCT06014125,Paramedical Tele-education on Moderate Depressive Episodes,RECRUITING,Depression|Depression Moderate,OTHER: psychoeducative program,"University Hospital, Toulouse",,"Chu Toulouse, Toulouse, Occitanie, 31000, France",2024-01-25,2026-12
NCT03162211,Feedback to Improve Depression Outcomes,RECRUITING,Depression,OTHER: Feedback Report,Nova Scotia Health Authority,,"Nova Scotia Health Authority, Halifax, Nova Scotia, B3H 2E2, Canada",2017-09-10,2025-06
NCT02924662,The Investigation of the Depression in Osteoarthritis,UNKNOWN,Depression,OTHER: There is no intervention.,Dalian Municipal Central Hospital,,,2016-10,
NCT03338413,Cognitive Rehabilitation in Patients With Depression,UNKNOWN,Depression,BEHAVIORAL: Goal Management Training|BEHAVIORAL: Computerized Cognitive Training,Lovisenberg Diakonale Hospital,,"Lovisenberg Diaconal Hospital, Oslo, Norway",2018-01,2020-06
NCT00026052,Riluzole to Treat Major Depression,COMPLETED,Depression,DRUG: riluzole,National Institute of Mental Health (NIMH),PHASE2,"National Institute of Mental Health (NIMH), Bethesda, Maryland, 20892, United States",2001-11,2003-04
NCT02069301,Evaluation of an Integrated Microfinance and Depression Care Program for Women,COMPLETED,Depression,BEHAVIORAL: Integrated Depression/Microfinance Group|OTHER: Treatment as Usual|OTHER: Livelihood Support,RAND,,"Hoa Cuong Bac Commune Health Station, Da Nang, Vietnam|Hoa Cuong Nam Commune Health Station, Da Nang, Vietnam|Hoa Hiep Nam Commune Health Station, Da Nang, Vietnam|Hoa Minh Commune Health Station, Da Nang, Vietnam",2014-02,2016-09
NCT01799551,Brief Culturally Adapted Cognitive Behaviour Therapy for Depression,COMPLETED,Depression,BEHAVIORAL: Ca CBT,Pakistan Association of Cognitive Therapists,,"Pakistan Association of Cognitive Therapists, Lahore, Pakistan",2012-11,2014-07
NCT01701791,Telemedicine for Depression in Primary Care,UNKNOWN,Depression,OTHER: Computerized Decision Support System,IRCCS Centro San Giovanni di Dio Fatebenefratelli,,"Health Telematic Network srl, Brescia, Brescia, 25125, Italy|IRCCS Centro San Giovanni di Dio Fatebenefratelli, Brescia, Brescia, 25125, Italy|Dipartimento di Scienze Mediche Sperimentali e Cliniche, Università di Udine, Udine, Udine, 33100, Italy|Marco B. Rocchi, Urbino, Italy",2012-11,2016-05
NCT02880215,Development of Attention Bias Modification for Depression,COMPLETED,Depression,BEHAVIORAL: Attention Bias Modification|BEHAVIORAL: Cognitive Control Training,University of Texas at Austin,,"Mood Disorders Laboratory, Austin, Texas, 78712, United States",2017-09-01,2019-09-26
NCT01159041,Systems of Support Study for Childhood Depression,COMPLETED,Depression,BEHAVIORAL: Family Focused Treatment (FFT)|BEHAVIORAL: Individual Treatment (IP),Boston University Charles River Campus,,"UCLA Semel Institute for Neuroscience and Human Behavior, Los Angeles, California, 90095, United States|Boston University, Boston, Massachusetts, 02215, United States",2010-01,2016-12-31
NCT02438163,Study of Neuroplasticity on Depressed Patients : Modulation of MEP Induced by Theta Burst Stimulation,COMPLETED,Depression,DEVICE: Theta Burst Stimulation,Hôpital le Vinatier,,"Hopital Vinatier, Lyon, Auvergne-Rhône-Alpes, 69678, France",2014-03-21,2018-02-07
NCT03004430,Mantra Meditation in Major Depression,TERMINATED,Depression,BEHAVIORAL: Mantra Meditation|BEHAVIORAL: Progressive Muscle Relaxation,Diakonie Kliniken Zschadraß,,"Diakoniekliniken Zschadraß, Colditz, Saxony, 04680, Germany",2017-01-12,2020-07-30
NCT03690856,Clinical and Neurobiological Profile Predictive of Pejorative Outcome of Depression,UNKNOWN,Depression,"OTHER: inflammatory, neuropsychological and neuroimaging assessment",Rennes University Hospital,,"CHU angers, Angers, 49933, France|CHU de Brest - Hôpital de Bohars, Brest, 29820, France|CHU de Nantes - Hotel-Dieu, Nantes, 44000, France|CH Henri Laborit, Poitiers, 86021, France|CH Guillaume Regnier, Rennes, 35000, France|EPSM du Morbihan, Saint-Avé, 56896, France|CH Saint-Malo, St-Malo, 35400, France|CHU de Tours, Clinique Psychiatrique Universitaire, Tours, 37044, France",2019-11-08,2024-01
NCT01619631,Tai Chi Intervention for Chinese Americans With Depression,COMPLETED,Depression,BEHAVIORAL: 12-week Tai Chi intervention|BEHAVIORAL: Education control group,Massachusetts General Hospital,,"South Cove Community Health Center, Boston, Massachusetts, 02111, United States|Massachusetts General Hospital Depression Clinical and Research Program, Boston, Massachusetts, 02114, United States",2012-02,2016-11
NCT00971815,Effects of 3 Months of Selective Serotonin Reuptake Inhibitor (SSRI)-Treatment on Metabolism and Hypothalamic-pituitary-adrenal (HPA)-Axis in Young Men Born With Low Birth Weight,COMPLETED,Insulin Resistance|Low Birth Weight|Type 2 Diabetes|Cardiovascular Disease|Melancholic Depression|Anxiety Disorders,DRUG: Escitalopram|DRUG: placebo,University of Aarhus,,"Medical Dep M, Diabetes and Endocrinology Aarhus University Hospital, Aarhus Sygehus, Aarhus, 8000, Denmark",2009-05,2014-04
NCT04631497,"Assessment of Stress, Depression and Anxiety in Healthcare Caring for Patients With COVID-19",COMPLETED,Depression,DIAGNOSTIC_TEST: test,Jagiellonian University,,"University Hospital in Cracow, Krakow, 31-501, Poland",2020-07-01,2021-12-31
NCT04524598,A CBT-based Mobile Intervention as First Line Treatment for Adolescent Depression During COVID-19,COMPLETED,Depression,DEVICE: Limbix Spark|OTHER: Psychoeducation,"Limbix Health, Inc.",,"Limbix Health, Inc., San Francisco, California, 94104, United States",2020-07-20,2022-01-16
NCT03167307,The Omega-3 Fatty Acid Paediatric Depression Trial,COMPLETED,Depression,DRUG: Omega 3 fatty acid|DRUG: Placebo oil,Gregor Berger,PHASE3,"Psychiatric Services Baselland, Liestal, Basel-Landschaft, Switzerland|Psychiatric University Clinics, Department of Child and Adolescent Psychiatry, Zurich, Canton of Zurich, 8032, Switzerland|Klinik Sonnenhof, Ganterschwil, St.Gallen, Switzerland|Clienia Littenheid, Littenheid, Thurgau, Switzerland|Spital Thurgau Kinder- und Jugendpsychiatrischer Dienst, Weinfelden, Thurgau, Switzerland|University Psychiatric Services, Basel, Switzerland|Stiftung Kinder- und Jugendpsychiatrische Dienste St.Gallen, Sankt Gallen, Switzerland",2017-04-28,2022-03-24
NCT00658476,Omega-3 Fatty Acids for Treatment of Depression in Adolescents,COMPLETED,Depression,DIETARY_SUPPLEMENT: Fish Oil|BEHAVIORAL: Cognitive Behavior Therapy|OTHER: Placebo,Cedars-Sinai Medical Center,PHASE3,"Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States",2006-11,2009-04
NCT01868711,Cognitive Behavior Therapy for Depression,COMPLETED,Depression,BEHAVIORAL: Cognitive Behavior Therapy,New York State Psychiatric Institute,,"New York State Psychiatric Institute, New York, New York, 10032, United States",2013-07,2023-06-02
